City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1,Sakata,JP,33.98,light rain,38.9167,139.855,Hotel Rich & Garden Sakata
3,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
4,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
5,Mataura,NZ,61.48,broken clouds,-46.1927,168.8643,Ellie's Villa
6,Brigantine,US,47.01,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
7,Rikitea,PF,77.31,light rain,-23.1203,-134.9692,People ThankYou
9,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
10,Khani,GE,44.17,broken clouds,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
11,Vinh Yen,VN,64.35,broken clouds,21.31,105.5967,Ngoc Lan Hotel - Vinh Phuc
13,Nelson Bay,AU,70.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
15,Kurumkan,RU,7.12,light snow,54.3,110.3,Ilikchin
16,New Norfolk,AU,61.92,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
17,Hobart,AU,62.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
18,West Bay,KY,84.27,few clouds,19.3667,-81.4167,Calypso Cove
19,Kodiak,US,16.29,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
20,Arraial Do Cabo,BR,77.27,light rain,-22.9661,-42.0278,Pousada Porto Praia
21,Katsuura,JP,51.91,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
24,Namatanai,PG,82.98,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
26,Butaritari,KI,82.53,broken clouds,3.0707,172.7902,Isles Sunset Lodge
27,Saltillo,MX,73.99,clear sky,25.4167,-101.0,Hotel Urdinola
28,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
29,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatros Hotel
30,Jamsa,FI,32.14,overcast clouds,61.8642,25.19,Motel Patalahti
31,Kokopo,PG,81.0,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
32,Grakhovo,RU,9.36,scattered clouds,56.0502,51.9676,Gostinitsa Aslan
33,Marrakesh,MA,55.47,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
34,Vestmannaeyjar,IS,43.88,overcast clouds,63.4427,-20.2734,Glamping & Camping
35,Mehamn,NO,30.15,light snow,71.0357,27.8492,Mehamn Arctic Hotel AS
36,Ngunguru,NZ,72.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
37,Goderich,CA,43.12,clear sky,43.7501,-81.7165,Harmony Inn
38,Hermanus,ZA,64.9,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
39,Port Alfred,ZA,71.01,overcast clouds,-33.5906,26.891,The Halyards Hotel
41,Nikolskoye,RU,23.4,light snow,59.7035,30.7861,Tourist House - Sablino
42,Paramirim,BR,73.09,overcast clouds,-13.4425,-42.2389,Pousada Rio Pequeno
43,San Patricio,US,68.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
44,Kahului,US,81.97,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
45,Aguimes,ES,61.43,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
46,San Jose,US,57.34,overcast clouds,37.3394,-121.895,The Westin San Jose
47,Santa Cruz,BO,78.85,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
48,Santa Rita Arriba,PA,83.57,overcast clouds,9.3378,-79.78,Blue Morpho
51,Laibin,CN,51.49,clear sky,23.7,109.2667,GreenTree Alliance Laibin Railway Station Hotel
52,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
53,Cabedelo,BR,81.27,clear sky,-6.9811,-34.8339,Hotel Pigalle
55,Kurilsk,RU,34.59,light rain,45.2333,147.8833,Hotel Ostrov
56,Hasaki,JP,46.8,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
57,San Angelo,US,70.65,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
59,Kapaa,US,80.92,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Husavik,IS,40.91,overcast clouds,66.0449,-17.3389,Bjarnabúð
61,Chumikan,RU,6.51,overcast clouds,54.7183,135.315,Fortuna
63,Santa Rosa,PH,78.12,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
64,Yellowknife,CA,9.41,light snow,62.456,-114.3525,The Explorer Hotel
65,Hilo,US,78.8,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,Yeppoon,AU,78.58,clear sky,-23.1333,150.7333,Villa Mar Colina
67,Busselton,AU,48.09,overcast clouds,-33.65,115.3333,Observatory Guest House
68,Lahad Datu,MY,75.15,broken clouds,5.0268,118.327,The 27th House
69,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
70,Ulladulla,AU,65.88,clear sky,-35.35,150.4667,Sandpiper Motel
71,Espanola,US,55.26,clear sky,35.9911,-106.0806,Santa Claran Hotel Casino
72,Fomboni,KM,81.25,overcast clouds,-12.28,43.7425,Auberge les abou
73,Cayenne,GF,76.08,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
74,Cockburn Town,TC,79.86,clear sky,21.4612,-71.1419,Osprey Beach Hotel
75,Corrente,BR,82.33,scattered clouds,-3.7367,-43.3394,Chapadinhense Hotel
77,Keuruu,FI,30.38,overcast clouds,62.2667,24.7,Hostelli Nonna
78,Bluff,NZ,61.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
79,Hithadhoo,MV,80.98,overcast clouds,-0.6,73.0833,Scoop Guest House
80,Carnarvon,AU,68.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
81,Esperance,AU,56.23,broken clouds,-33.8667,121.9,Hospitality Esperance
82,Chuy,UY,70.7,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
83,Codajas,BR,75.04,overcast clouds,-3.8367,-62.0569,Atlântic Hotel
84,Mar Del Plata,AR,67.87,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
88,Inhambane,MZ,78.67,clear sky,-23.865,35.3833,Oceano
89,Ahipara,NZ,71.49,moderate rain,-35.1667,173.1667,Ahipara Holiday Park
90,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Punto de encuentro
91,Rio Grande,BR,77.11,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
92,Lompoc,US,66.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
93,Binabalian,PH,79.39,broken clouds,16.4202,119.9279,Sundowners Vacation Villas
94,Xifeng,CN,15.13,clear sky,42.7372,124.7222,Home Inn Hotel
95,Bengkulu,ID,74.91,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
96,Vila Franca Do Campo,PT,56.19,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
97,Chirkey,RU,40.15,clear sky,42.9613,46.9787,fruity ostrov
98,Jamestown,US,42.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
100,Sierpc,PL,24.51,scattered clouds,52.8568,19.6691,"Bar ""MaxiM"" - Restauracja, Catering, Sale Bankietowe, Hotel"
101,Hope,US,55.45,clear sky,33.6671,-93.5916,Best Western Hope
102,Sungairaya,ID,77.13,overcast clouds,0.7,108.9,Mess P.Milu
103,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
104,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
105,Lashio,MM,54.86,few clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
106,Nishihara,JP,67.28,mist,26.1842,127.7558,Minshuku Agaihama
107,Upernavik,GL,6.26,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
108,Peruibe,BR,73.22,broken clouds,-24.32,-46.9983,Hotel Pousada Xapuri
110,Argentan,FR,50.72,overcast clouds,48.75,-0.0167,Hostellerie De La Renaissance
111,Ust-Ishim,RU,13.82,light snow,57.6935,71.1665,"Velichko T.p., Gostinitsa"
112,Codrington,AU,80.55,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
113,Makakilo City,US,80.92,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
114,Tabou,CI,80.08,few clouds,4.423,-7.3528,hotêl doufoulougou
115,Thompson,CA,3.36,light snow,55.7435,-97.8558,Burntwood Hotel
117,Jardim De Piranhas,BR,90.39,few clouds,-6.3786,-37.3519,Área de Lazer Olho D'água
118,Hofn,IS,39.92,moderate rain,64.2539,-15.2082,Hótel Höfn
119,Nemuro,JP,33.1,scattered clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
120,Conceicao Do Araguaia,BR,76.32,moderate rain,-8.2578,-49.2647,Tarumã Tropical Hotel
121,Samarai,PG,82.99,overcast clouds,-10.6167,150.6667,Nuli Sapi
122,Port Elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
123,Petropavlovsk-Kamchatskiy,RU,27.19,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
125,Puerto Madryn,AR,67.8,scattered clouds,-42.7692,-65.0385,Hotel Tolosa
126,Mount Gambier,AU,69.21,scattered clouds,-37.8333,140.7667,The Commodore
128,East London,ZA,71.56,moderate rain,-33.0153,27.9116,Tu Casa
129,Hambantota,LK,78.26,moderate rain,6.1241,81.1185,Bungalow 63
130,Rawah,IQ,55.69,overcast clouds,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
131,Harper,LR,79.99,scattered clouds,4.375,-7.7169,Screensaver
132,Vila Velha,BR,80.55,light rain,-20.3297,-40.2925,Quality Suites Vila Velha
133,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
134,Marawi,PH,65.64,broken clouds,7.9986,124.2928,Derogongan Residence
135,Atar,MR,72.1,broken clouds,20.5169,-13.0499,Oumou Elghoura
136,Sorland,NO,37.6,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
138,Cape Town,ZA,66.61,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
139,Cabo San Lucas,MX,76.3,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
141,Caohe,CN,45.61,scattered clouds,30.2297,115.4335,Ai Jing Hotel
142,Saint George,US,61.27,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
143,Lebu,CL,57.22,clear sky,-37.6167,-73.65,Hostal Las Lilas
144,Tual,ID,84.43,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
145,Olafsvik,IS,41.94,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
146,Manggar,ID,77.99,overcast clouds,-2.8833,108.2667,Guest Hotel
148,Iberia,US,62.6,clear sky,29.9502,-91.7507,back to back rv park
149,Odweyne,SO,66.2,clear sky,9.4092,45.064,Eng Hiirey House
150,Ardakan,IR,46.78,clear sky,32.31,54.0175,Ardakan Hotel
152,Swan River,CA,22.89,overcast clouds,52.1058,-101.2676,Super 8 by Wyndham Swan River MB
153,Am Timan,TD,79.92,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
154,Beaupre,CA,37.67,broken clouds,47.0443,-70.8953,Chateau Mont-Sainte-Anne
155,Kirando,TZ,74.16,light rain,-7.4167,30.6,Lakeshore Lodge
157,Palghar,IN,78.78,clear sky,19.6833,72.75,"Samarth Krupa Farm, Palghar"
158,Ponta Do Sol,PT,66.0,broken clouds,32.6667,-17.1,Hotel do Campo
159,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
160,Torbay,CA,52.68,overcast clouds,47.6666,-52.7314,Gallows Cove
161,Xiongyue,CN,27.43,clear sky,40.1774,122.1228,Samsung Business Hotel
162,Roma,US,42.66,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
163,Pueblo,US,73.11,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
165,Laharpur,IN,55.98,clear sky,27.7167,80.9,Babu Ji Moeed
166,Sisimiut,GL,15.73,broken clouds,66.9395,-53.6735,Hotel Sisimiut
167,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
168,Sinnamary,GF,77.13,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
169,Cururupu,BR,79.57,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
170,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
171,Sterling,US,47.89,clear sky,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
172,Likasi,CD,66.11,overcast clouds,-10.9814,26.7333,TABERNACLE DE LIKASI
173,Terney,RU,14.22,clear sky,45.0503,136.6092,"Hotel ""Ternay"""
174,Canete,CL,57.67,clear sky,-37.8,-73.4,Alojamiento El Alero Criollo
175,Sandakan,MY,76.68,mist,5.8402,118.1179,Hotel Sandakan
176,Baglung,NP,48.88,few clouds,28.2719,83.5898,Hotel Peace Palace
177,Tiarei,PF,84.22,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
178,Szeghalom,HU,36.59,overcast clouds,47.0333,21.1667,Hidi Panzió Étterem
179,Vaini,TO,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
180,Natchez,US,59.22,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
181,Kirakira,SB,83.3,overcast clouds,-10.4544,161.9205,SanBiz Lodge
182,Wenzhou,CN,53.06,overcast clouds,27.9994,120.6668,温州喜来登酒店
183,Lagoa,PT,57.96,overcast clouds,39.05,-27.9833,Casa Das Faias
184,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
186,Meulaboh,ID,75.51,overcast clouds,4.1363,96.1285,Kost Pria
187,Nushki,PK,44.46,clear sky,29.5542,66.0215,Shams hotel
188,Aberdeen,GB,52.29,overcast clouds,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
189,Oktyabrskoye,RU,30.34,scattered clouds,43.0645,44.7417,Prolesok Mini-hotel
190,Natal,BR,83.05,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
191,Saldanha,ZA,62.64,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
192,Dunedin,NZ,60.04,broken clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
193,Giyani,ZA,81.64,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
194,Half Moon Bay,US,57.11,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
195,Coihaique,CL,55.35,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
196,Basco,PH,75.81,broken clouds,20.4487,121.9702,Nathaniel's Lodge
197,Jackson,US,44.47,overcast clouds,42.4165,-122.8345,Agate Village Apartments
198,Ilulissat,GL,19.42,overcast clouds,69.2167,-51.1,Hotel Arctic
199,Trofors,NO,40.35,overcast clouds,65.5333,13.4063,Hause for Marcus and Martinus
201,Marsa Matruh,EG,57.4,clear sky,31.3525,27.2453,Beau Site
202,Mackay,AU,83.68,broken clouds,-21.15,149.2,International Lodge Motel
203,Leh,IN,8.87,overcast clouds,34.1667,77.5833,Hotel Ladakh Greens
204,Colares,PT,61.9,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
205,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
206,Dwarka,IN,73.06,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
208,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
209,Great Yarmouth,GB,53.94,overcast clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
210,Nouadhibou,MR,66.29,overcast clouds,20.931,-17.0347,El Medina
211,Avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
213,Sainte-Suzanne,RE,79.02,broken clouds,-20.9061,55.6089,Gites Ango
214,Lima,PE,69.13,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
215,Garwa,IN,52.0,clear sky,24.1833,83.8167,A.PS.D Utsav Garden
217,Arlit,NE,70.48,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
218,Hervey Bay,AU,82.04,light rain,-25.2986,152.8535,Shelly Bay Resort
219,Arica,CL,71.15,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
221,Guerrero Negro,MX,67.5,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
222,Ribeira Grande,PT,58.71,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
223,Komsomolskiy,UZ,35.02,haze,40.4272,71.7189,Ikathouse
224,Kaitangata,NZ,60.93,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
226,Tymovskoye,RU,17.62,light snow,50.8456,142.655,"Gostinitsa ""Domashnyaya"""
227,Wakkanai,JP,31.28,light snow,45.4094,141.6739,Hyōsetsu-sō
230,Boyolangu,ID,76.15,overcast clouds,-8.1181,111.8935,Yos ega cv
231,Kandrian,PG,78.85,overcast clouds,-6.2167,149.55,Kandrian Station
232,Roald,NO,45.34,scattered clouds,62.5833,6.1333,Flem Cabins
233,Hilton Head Island,US,60.91,clear sky,32.2163,-80.7526,Disney’s Hilton Head Island Resort
234,Castro,BR,72.64,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
235,Neiafu,TO,81.28,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
236,Impfondo,CG,73.94,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
